Date,Inspected,Negative,Confirmed,Recovered,Deaths
2020-02-06,,,,,
2020-02-07,745.0,133.0,0.0,0.0,0.0
2020-02-08,501.0,549.0,3.0,1.0,0.0
2020-02-09,512.0,869.0,0.0,0.0,0.0
2020-02-10,1215.0,983.0,1.0,1.0,0.0
2020-02-11,1299.0,1276.0,0.0,3.0,0.0
2020-02-12,887.0,1110.0,0.0,0.0,0.0
2020-02-13,731.0,758.0,0.0,0.0,0.0
2020-02-14,492.0,469.0,0.0,2.0,0.0
2020-02-15,427.0,499.0,1.0,0.0,0.0
2020-02-16,557.0,333.0,1.0,1.0,0.0
2020-02-17,1054.0,943.0,1.0,2.0,0.0
2020-02-18,1401.0,1050.0,20.0,4.0,0.0
2020-02-19,2029.0,1265.0,53.0,0.0,1.0
2020-02-20,3198.0,1778.0,100.0,1.0,0.0
2020-02-21,5186.0,2100.0,229.0,1.0,1.0
2020-02-22,4593.0,2404.0,169.0,0.0,3.0
2020-02-23,6577.0,2772.0,231.0,4.0,2.0
2020-02-24,7548.0,5155.0,144.0,0.0,3.0
2020-02-25,13249.0,6129.0,284.0,2.0,2.0
2020-02-26,13099.0,7742.0,505.0,2.0,1.0
2020-02-27,14515.0,9275.0,571.0,1.0,0.0
2020-02-28,12888.0,7130.0,813.0,1.0,4.0
2020-02-29,4866.0,6102.0,586.0,2.0,1.0
2020-03-01,10670.0,9755.0,476.0,1.0,4.0
2020-03-02,16260.0,13904.0,600.0,3.0,6.0
2020-03-03,10856.0,17481.0,516.0,7.0,4.0
2020-03-04,9834.0,16000.0,438.0,47.0,3.0
2020-03-05,18199.0,17659.0,518.0,20.0,7.0
2020-03-06,13449.0,15178.0,483.0,10.0,2.0
2020-03-07,10329.0,10206.0,367.0,12.0,6.0
2020-03-08,8100.0,9770.0,248.0,36.0,1.0
2020-03-09,13526.0,12401.0,131.0,81.0,3.0
2020-03-10,12251.0,11921.0,242.0,41.0,6.0
2020-03-11,12603.0,13302.0,114.0,45.0,6.0
2020-03-12,13649.0,13326.0,110.0,177.0,1.0
2020-03-13,12688.0,12887.0,107.0,204.0,5.0
2020-03-14,6877.0,8163.0,76.0,120.0,3.0
2020-03-15,6292.0,7519.0,74.0,303.0,0.0
2020-03-16,12212.0,9808.0,84.0,264.0,6.0
2020-03-17,8931.0,9783.0,93.0,139.0,3.0
2020-03-18,11377.0,11667.0,152.0,407.0,7.0
2020-03-19,9640.0,9932.0,87.0,286.0,3.0
2020-03-20,10845.0,10519.0,147.0,379.0,8.0
2020-03-21,4271.0,5337.0,98.0,297.0,2.0
2020-03-22,6256.0,7104.0,64.0,257.0,7.0
2020-03-23,10546.0,8658.0,76.0,341.0,9.0
2020-03-24,9314.0,10376.0,100.0,223.0,6.0
2020-03-25,7046.0,6851.0,104.0,414.0,5.0
2020-03-26,12019.0,11078.0,91.0,384.0,8.0
2020-03-27,10964.0,9473.0,146.0,283.0,5.0
2020-03-28,6216.0,7647.0,105.0,222.0,8.0
2020-03-29,1053.0,2472.0,78.0,195.0,6.0
2020-03-30,15370.0,11884.0,125.0,180.0,4.0
2020-03-31,10983.0,11189.0,101.0,159.0,3.0
2020-04-01,10196.0,8807.0,89.0,261.0,4.0
2020-04-02,11530.0,10421.0,86.0,193.0,5.0
2020-04-03,11759.0,10429.0,94.0,304.0,3.0
2020-04-04,6201.0,6693.0,81.0,138.0,6.0
2020-04-05,5571.0,5800.0,47.0,135.0,3.0
2020-04-06,10500.0,9098.0,47.0,96.0,6.0
2020-04-07,8699.0,11438.0,53.0,82.0,8.0
2020-04-08,8708.0,11018.0,39.0,197.0,4.0
2020-04-09,8340.0,8524.0,27.0,144.0,4.0
2020-04-10,7428.0,8626.0,30.0,126.0,3.0
2020-04-11,4142.0,4392.0,32.0,125.0,3.0
2020-04-12,4122.0,4494.0,25.0,79.0,3.0
2020-04-13,8695.0,7408.0,27.0,87.0,5.0
2020-04-14,7114.0,6712.0,27.0,82.0,3.0
2020-04-15,4223.0,4959.0,22.0,141.0,4.0
2020-04-16,7688.0,7748.0,22.0,72.0,1.0
2020-04-17,8371.0,8989.0,18.0,108.0,2.0
2020-04-18,4275.0,5574.0,8.0,105.0,2.0
2020-04-19,3926.0,4175.0,13.0,72.0,2.0
2020-04-20,7979.0,7230.0,9.0,99.0,1.0
2020-04-21,6945.0,7534.0,11.0,64.0,1.0
2020-04-22,6012.0,7986.0,8.0,134.0,2.0
2020-04-23,5549.0,6082.0,6.0,90.0,0.0
2020-04-24,5641.0,5972.0,10.0,134.0,0.0
2020-04-25,3124.0,3374.0,10.0,82.0,2.0
2020-04-26,3375.0,3469.0,10.0,47.0,1.0
2020-04-27,6854.0,6532.0,14.0,90.0,1.0
2020-04-28,5683.0,6570.0,9.0,68.0,2.0
2020-04-29,5684.0,5353.0,4.0,137.0,1.0
2020-04-30,3188.0,3128.0,9.0,13.0,1.0
2020-05-01,4493.0,4676.0,6.0,51.0,2.0
2020-05-02,3411.0,3306.0,13.0,60.0,0.0
2020-05-03,2948.0,3352.0,8.0,34.0,2.0
2020-05-04,6316.0,5631.0,3.0,66.0,2.0
2020-05-05,2858.0,3705.0,2.0,50.0,1.0
2020-05-06,6293.0,5869.0,4.0,86.0,1.0
2020-05-07,5475.0,5025.0,12.0,65.0,0.0
2020-05-08,5167.0,4863.0,18.0,84.0,0.0
2020-05-09,3856.0,2847.0,34.0,42.0,0.0
2020-05-10,4606.0,3777.0,35.0,22.0,0.0
2020-05-11,12398.0,6963.0,27.0,38.0,2.0
2020-05-12,15030.0,11755.0,26.0,25.0,1.0
2020-05-13,15564.0,14392.0,29.0,67.0,1.0
2020-05-14,15263.0,16083.0,27.0,59.0,0.0
2020-05-15,13898.0,15411.0,19.0,30.0,2.0
2020-05-16,7008.0,7678.0,13.0,37.0,0.0
2020-05-17,5558.0,7110.0,15.0,16.0,1.0
2020-05-18,12363.0,11518.0,13.0,34.0,0.0
2020-05-19,10859.0,11401.0,32.0,128.0,0.0
2020-05-20,12251.0,10501.0,12.0,69.0,1.0
2020-05-21,13734.0,11517.0,20.0,27.0,0.0
2020-05-22,12002.0,10696.0,23.0,32.0,2.0
2020-05-23,5869.0,7080.0,25.0,19.0,0.0
2020-05-24,6148.0,7376.0,16.0,13.0,1.0
2020-05-25,13038.0,10064.0,19.0,49.0,2.0
2020-05-26,13401.0,14344.0,40.0,20.0,0.0
2020-05-27,15790.0,14402.0,79.0,45.0,0.0
2020-05-28,16454.0,14209.0,58.0,23.0,0.0
2020-05-29,17781.0,16001.0,39.0,35.0,0.0
2020-05-30,7921.0,10898.0,27.0,7.0,1.0
2020-05-31,10569.0,9770.0,35.0,17.0,1.0
2020-06-01,18460.0,13558.0,38.0,24.0,1.0
2020-06-02,17001.0,18009.0,49.0,21.0,1.0
2020-06-03,17006.0,16633.0,39.0,32.0,0.0
2020-06-04,17102.0,16496.0,39.0,7.0,0.0
2020-06-05,14345.0,15106.0,51.0,25.0,0.0
2020-06-06,7464.0,8880.0,57.0,21.0,0.0
2020-06-07,5445.0,7514.0,38.0,11.0,0.0
2020-06-08,17783.0,14660.0,38.0,26.0,1.0
2020-06-09,15975.0,17161.0,50.0,22.0,2.0
2020-06-10,14916.0,15600.0,45.0,43.0,0.0
2020-06-11,14599.0,15793.0,56.0,15.0,1.0
2020-06-12,13217.0,14061.0,48.0,22.0,0.0
